Product,Quantity,Price,Date,Time
Soybean,229,99.03,2025-04-01,15:09
Corn,53,29.11,2025/02/26,13:44
Corn,63,65.55,2025/03/11,18:54
Barley,184,62.35,2025/12/18,12:38
Wheat,458,77.81,2025-03-13,11:25
Barley,121,30.86,2025-01-03,12:04
Quinoa,114,96.63,2025-05-06,11:42
Barley,364,41.42,2025/10/15,08:45
Millet,433,61.25,2025-05-13,18:16
Millet,195,30.68,2025/06/21,06:31
Soybean,408,22.41,2025-02-09,11:37
Soybean,388,62.0,2025/11/02,10:40
Corn,219,46.77,2025/06/08,04:35
Rice,466,66.96,2025/02/05,02:30
Quinoa,81,86.84,2025-02-20,15:33
Corn,320,93.61,2025/03/11,10:02
Quinoa,192,21.38,2025/05/18,09:28
Corn,184,27.09,2025/12/23,16:05
Rye,196,70.52,2025-11-12,00:45
Quinoa,490,43.7,2025/02/17,09:15
Corn,402,70.08,2025-08-25,17:03
Millet,98,80.0,2025-08-04,20:14
Quinoa,135,11.77,2025/06/08,16:54
Millet,305,80.45,2025/03/31,13:51
Wheat,62,70.47,2025/06/01,00:24
Quinoa,259,20.77,2025-06-23,03:50
Rye,408,59.37,2025-11-20,10:50
Barley,114,30.43,2025-04-08,10:11
Quinoa,359,94.51,2025-04-26,14:44
Wheat,248,55.71,2025/02/08,04:54
Sorghum,485,59.96,2025/11/19,12:49
Quinoa,265,32.85,2025/09/27,11:26
Wheat,349,47.38,2025-01-28,12:16
Millet,467,89.46,2025/01/19,04:02
Corn,162,96.88,2025-04-11,03:29
Rice,60,66.47,2025-08-05,01:11
Quinoa,335,90.31,2025-08-08,07:45
Barley,236,64.0,2025/06/07,10:24
Wheat,441,71.94,2025-04-10,02:12
Barley,452,63.2,2025-09-15,00:52
Quinoa,92,74.7,2025-05-01,17:36
Barley,151,86.98,2025/07/06,11:09
Quinoa,450,27.87,2025/05/30,00:41
Rice,61,53.91,2025/01/06,22:07
Oats,221,60.87,2025-02-18,10:10
Corn,193,53.44,2025-09-03,04:15
Sorghum,275,81.96,2025/03/20,19:16
Soybean,109,40.0,2025-11-29,00:45
Wheat,159,98.04,2025-12-01,08:43
Corn,327,96.04,2025-04-04,20:36
Rye,334,40.43,2025-05-22,00:27
Barley,126,67.08,2025-12-15,07:39
Soybean,63,38.1,2025/09/09,06:11
Soybean,404,54.08,2025/01/02,11:27
Soybean,473,64.48,2025/06/25,21:15
Rye,65,18.77,2025-12-24,10:20
Rice,494,75.95,2025-05-06,23:49
Sorghum,403,32.36,2025-09-25,22:49
Oats,85,92.03,2025-04-17,04:23
Barley,328,87.92,2025-11-20,02:34
Rye,419,67.63,2025-07-26,00:51
Barley,115,65.38,2025/01/08,13:21
Oats,319,45.7,2025-09-08,18:25
Oats,497,21.78,2025/02/04,16:36
Rye,202,15.19,2025/09/15,21:09
Sorghum,213,94.53,2025/11/04,08:00
Sorghum,377,12.46,2025-06-19,20:11
Soybean,387,98.03,2025/06/03,19:13
Rice,437,22.22,2025/03/19,21:30
Oats,76,84.52,2025-11-12,14:31
Corn,53,16.98,2025-03-09,16:42
Corn,428,36.55,2025-04-20,00:04
Soybean,240,27.36,2025-05-25,17:11
Soybean,382,87.39,2025-03-01,18:41
Soybean,153,63.8,2025-01-06,02:58
Soybean,301,60.26,2025/05/02,21:47
Millet,471,28.37,2025-05-04,17:07
Barley,328,21.97,2025/11/24,13:32
Rye,307,22.6,2025/04/23,12:38
Sorghum,410,65.39,2025/10/18,14:32
Rice,122,99.76,2025/05/26,06:23
Wheat,199,32.53,2025/12/07,16:05
Millet,218,73.18,2025-12-26,07:22
Rye,329,82.36,2025/09/30,18:35
Wheat,495,61.65,2025-08-04,10:07
Soybean,188,36.32,2025/05/17,17:34
Barley,145,41.49,2025/06/08,09:31
Rice,197,28.92,2025/06/18,23:19
Sorghum,256,34.25,2025/03/22,02:27
Barley,403,76.4,2025-06-09,01:10
Soybean,159,92.35,2025-05-05,12:23
Oats,466,81.9,2025/07/24,05:17
Rice,94,27.66,2025-12-17,08:27
Millet,300,46.9,2025/08/10,20:43
Quinoa,55,57.56,2025/10/21,10:18
Soybean,332,16.77,2025/04/16,03:56
Quinoa,287,59.69,2025-10-15,07:27
Corn,146,62.6,2025-08-16,20:34
Barley,61,62.58,2025-02-03,20:21
Soybean,298,42.58,2025/08/09,16:09
Barley,252,98.04,2025/03/04,02:15
Sorghum,289,88.32,2025/10/19,13:52
Wheat,449,88.4,2025-08-30,03:53
Wheat,338,57.86,2025/02/28,18:46
Sorghum,397,90.17,2025-11-03,08:30
Oats,153,40.71,2025/05/06,19:00
Sorghum,78,16.08,2025-01-25,09:40
Rice,265,12.45,2025-05-16,19:21
Corn,232,17.0,2025-04-15,18:28
Wheat,282,95.57,2025-04-15,11:21
Rice,125,38.44,2025/02/22,17:36
Millet,121,25.84,2025/11/11,18:38
Wheat,352,16.25,2025/11/23,22:13
Wheat,53,46.85,2025/08/23,20:23
Oats,64,20.91,2025/12/24,16:17
Rice,368,42.57,2025-08-08,23:11
Millet,225,56.46,2025-01-29,18:46
Soybean,420,11.06,2025-12-01,18:52
Rye,434,69.57,2025/03/29,16:32
Soybean,257,75.85,2025-11-29,03:34
Rice,153,82.06,2025/03/28,14:51
Millet,108,97.96,2025/10/14,21:24
Wheat,400,45.97,2025/01/17,17:43
Oats,161,35.35,2025-03-18,19:56
Wheat,133,10.64,2025/07/24,10:05
Oats,482,25.96,2025-09-24,10:41
Rice,182,21.48,2025/10/11,19:40
Sorghum,174,93.94,2025/02/27,03:37
Soybean,371,53.95,2025/08/13,23:39
Sorghum,220,99.91,2025-07-31,01:51
Rice,352,36.99,2025-05-23,08:48
Oats,204,23.85,2025/07/01,15:32
Millet,249,25.81,2025/12/25,04:03
Sorghum,270,45.56,2025-09-24,04:58
Corn,384,44.1,2025/02/12,15:08
Corn,430,95.1,2025-08-10,08:28
Oats,305,96.52,2025-01-04,09:22
Rye,204,36.25,2025/09/30,23:22
Rice,480,68.17,2025-02-04,22:03
Wheat,130,85.31,2025/04/05,17:16
Oats,165,96.16,2025-02-13,17:11
Oats,159,27.01,2025-10-07,08:01
Rice,269,52.15,2025/12/26,12:04
Quinoa,307,62.27,2025/05/08,17:27
Rye,283,88.35,2025/01/15,14:00
Barley,133,14.01,2025/05/24,04:33
Wheat,378,72.39,2025-08-05,16:10
Wheat,289,40.39,2025-10-04,00:24
Corn,303,35.08,2025-02-05,02:35
Oats,224,16.03,2025-07-22,09:43
Quinoa,75,12.11,2025/08/11,02:20
Soybean,51,75.89,2025-09-22,07:24
Oats,113,75.09,2025-03-27,21:11
Wheat,298,46.46,2025/10/27,19:05
Corn,171,50.95,2025-06-13,00:47
Oats,112,48.66,2025-10-29,23:51
Oats,327,18.61,2025/02/08,14:55
Oats,161,96.42,2025-03-03,05:28
Oats,213,52.38,2025/08/06,02:27
Soybean,341,18.52,2025/07/15,00:57
Rye,101,29.38,2025/11/21,06:07
Barley,312,26.94,2025-09-30,22:13
Corn,433,45.16,2025/07/10,18:59
Sorghum,154,51.93,2025/06/21,03:25
Sorghum,74,12.14,2025-10-13,02:44
Corn,105,64.76,2025/04/06,11:49
Quinoa,232,12.43,2025-10-14,13:51
Sorghum,488,49.91,2025-02-25,13:54
Sorghum,429,85.52,2025/10/03,14:46
Oats,463,74.04,2025/09/10,05:48
Quinoa,254,58.71,2025/10/20,02:50
Wheat,336,31.06,2025/08/01,21:59
Corn,346,60.76,2025-03-30,08:53
Millet,221,98.45,2025-03-10,22:36
Millet,442,95.62,2025/02/27,01:36
Rice,189,83.98,2025/09/09,04:59
Millet,195,86.18,2025-07-12,11:46
Corn,480,26.18,2025-01-22,03:45
Sorghum,261,58.73,2025-10-30,15:01
Sorghum,463,18.85,2025/05/11,14:01
Wheat,174,97.87,2025/08/08,05:43
Rye,216,36.38,2025/03/12,21:53
Millet,257,70.15,2025-06-15,00:57
Millet,71,64.22,2025/10/17,02:11
Wheat,362,30.51,2025/03/06,09:20
Barley,330,25.58,2025-05-26,06:01
Soybean,157,87.59,2025-07-20,15:24
Corn,331,96.58,2025/06/29,08:56
Corn,306,82.09,2025-01-10,12:16
Wheat,374,97.53,2025-04-01,04:18
Barley,473,21.22,2025-04-02,01:07
Corn,213,58.56,2025/12/25,02:57
Millet,471,20.57,2025/12/09,03:24
Oats,362,13.49,2025-06-15,05:42
Corn,393,26.59,2025-09-13,16:02
Wheat,310,21.65,2025/03/30,14:48
Millet,65,73.69,2025-11-18,07:26
Oats,482,72.96,2025-11-06,00:13
Rice,247,80.9,2025-03-26,04:39
Rye,281,62.13,2025/07/08,09:00
Quinoa,172,48.1,2025-01-12,09:38
Wheat,397,34.69,2025-07-18,23:55
Sorghum,295,66.02,2025/05/11,07:02
Rice,145,18.03,2025-04-18,17:48
Soybean,355,33.1,2025-07-29,23:59
Soybean,158,26.43,2025-11-10,14:22
Millet,459,76.02,2025/04/13,17:56
Millet,276,54.54,2025-02-25,16:33
Rice,296,80.11,2025-01-25,07:22
Rice,318,87.11,2025-07-16,19:13
Rice,152,43.48,2025-05-20,01:33
Oats,426,96.43,2025-11-23,14:02
Rye,473,43.55,2025/11/25,11:46
Rye,495,98.3,2025/05/14,18:22
Rye,370,73.13,2025-04-11,02:42
Wheat,255,14.35,2025/08/03,16:45
Barley,152,97.49,2025-01-23,21:19
Quinoa,429,24.14,2025/11/14,10:58
Sorghum,453,17.65,2025-12-13,03:21
Rye,208,71.79,2025/12/10,02:52
Soybean,398,46.07,2025-11-25,10:59
Corn,386,81.61,2025-07-02,20:58
Quinoa,196,47.17,2025-07-25,11:57
Soybean,473,20.32,2025/07/18,12:49
Sorghum,404,73.06,2025/03/11,02:53
Wheat,484,55.97,2025/12/11,18:00
Oats,204,54.03,2025/10/25,02:00
Sorghum,331,83.05,2025-09-05,04:17
Rice,358,51.19,2025-05-23,08:22
Soybean,58,13.85,2025/02/20,03:23
Millet,283,56.51,2025/09/05,21:29
Rye,239,11.14,2025-07-29,08:26
Wheat,280,71.22,2025-11-10,00:54
Rice,407,46.22,2025/08/27,18:59
Barley,332,45.61,2025/07/01,16:31
Oats,123,29.91,2025/12/11,08:46
Oats,237,70.03,2025/03/12,11:57
Oats,186,71.84,2025/08/05,06:15
Rye,437,96.73,2025-07-13,09:05
Soybean,437,54.41,2025/04/04,03:25
Soybean,146,45.92,2025/02/02,13:23
Wheat,213,30.0,2025-08-29,00:53
Corn,464,43.66,2025-03-25,02:43
Sorghum,211,34.46,2025/01/13,22:33
Soybean,80,61.69,2025/09/16,18:09
Quinoa,257,91.26,2025-04-15,05:29
Rye,452,92.46,2025-11-14,22:36
Rice,69,68.23,2025/01/23,05:08
Rye,435,36.86,2025-09-25,03:57
Rye,67,22.07,2025-10-02,04:36
Corn,226,16.67,2025-07-28,11:55
Rye,279,69.68,2025-01-04,21:18
Quinoa,229,23.78,2025-05-07,04:50
Rice,397,87.8,2025/04/19,04:07
Rye,396,85.03,2025/11/19,15:38
Soybean,340,78.52,2025-11-03,02:56
Corn,113,88.14,2025-05-24,09:01
Corn,438,11.08,2025-04-07,08:22
Oats,373,98.54,2025/05/02,14:05
Corn,88,65.85,2025/12/02,17:27
Sorghum,284,38.38,2025/03/14,13:33
Corn,492,55.36,2025/02/10,09:28
Millet,69,82.16,2025-05-08,18:52
Soybean,408,20.89,2025/04/18,21:47
Wheat,91,78.31,2025-12-15,18:59
Sorghum,348,21.77,2025-10-04,12:00
Rice,65,21.63,2025-07-22,07:04
Rye,157,17.54,2025-03-07,19:14
Rice,160,77.78,2025-11-21,11:12
Rye,416,60.31,2025-07-23,23:50
Quinoa,407,33.16,2025-07-14,18:48
Soybean,135,31.69,2025-11-17,14:29
Rice,367,77.12,2025/11/24,10:08
Oats,269,97.29,2025-06-06,16:17
Soybean,108,57.65,2025/01/17,16:30
Quinoa,112,74.09,2025-02-26,20:47
Barley,52,95.05,2025/06/13,19:24
Wheat,402,61.23,2025/03/25,20:14
Soybean,92,17.61,2025-10-07,09:43
Wheat,81,92.59,2025-09-27,08:20
Oats,57,91.42,2025-04-06,14:03
Quinoa,101,60.86,2025-11-23,20:47
Rice,369,33.84,2025/06/07,17:31
Wheat,254,21.2,2025/07/09,03:55
Rye,292,56.76,2025/09/30,13:02
Barley,275,39.78,2025/04/27,14:20
Corn,239,85.14,2025/01/07,21:23
Soybean,445,84.46,2025-08-04,21:06
Wheat,355,68.85,2025-05-25,22:56
Rye,124,21.12,2025/12/28,00:45
Oats,476,93.19,2025/10/11,16:02
Quinoa,343,32.93,2025/03/24,08:36
